cluster,kind,class,method,signature,type,confidence
movement-sync,self-contained,KGJumpList,Init,KGJumpList::Init(),NEW,uncertain(name-elsewhere)
movement-sync,self-contained,KGJumpList,KGJumpList,KGJumpList::KGJumpList(),NEW,hard
movement-sync,self-contained,KGJumpList,LoadJumpPrarm,KGJumpList::LoadJumpPrarm(),NEW,hard
movement-sync,self-contained,KGJumpList,LoadJumpPrarmFrame,KGJumpList::LoadJumpPrarmFrame(),NEW,hard
movement-sync,self-contained,KGJumpList,UnInit,KGJumpList::UnInit(),NEW,uncertain(name-elsewhere)
movement-sync,self-contained,KGJumpList,~KGJumpList,KGJumpList::~KGJumpList(),NEW,hard
movement-sync,self-contained,KGMoveParam,Apply,KGMoveParam::Apply(),NEW,hard
movement-sync,self-contained,KGMoveParam,KGMoveParam,KGMoveParam::KGMoveParam(),NEW,hard
movement-sync,self-contained,KGMoveProcessor,CellMoveSmart,"KGMoveProcessor::CellMoveSmart(KGMoveParam&, int)",NEW,hard
movement-sync,self-contained,KGMoveProcessor,CellMoveStupid,"KGMoveProcessor::CellMoveStupid(KGMoveParam&, int)",NEW,hard
movement-sync,self-contained,KGMoveProcessor,CheckSlip,KGMoveProcessor::CheckSlip(KGMoveParam&),NEW,hard
movement-sync,self-contained,KGMoveProcessor,GetFrictionDirection,KGMoveProcessor::GetFrictionDirection(KGMoveParam&),NEW,hard
movement-sync,self-contained,KGMoveProcessor,GetWaterline,KGMoveProcessor::GetWaterline(KGMoveParam&),NEW,hard
movement-sync,self-contained,KGMoveProcessor,IgnoreDynamicObstacle,KGMoveProcessor::IgnoreDynamicObstacle(KGMoveParam&),NEW,hard
movement-sync,self-contained,KGMoveProcessor,Init,KGMoveProcessor::Init(),NEW,uncertain(name-elsewhere)
movement-sync,self-contained,KGMoveProcessor,IsEntrapInWater,KGMoveProcessor::IsEntrapInWater(KGMoveParam&),NEW,hard
movement-sync,self-contained,KGMoveProcessor,PopRespond,KGMoveProcessor::PopRespond(),NEW,hard
movement-sync,self-contained,KGMoveProcessor,ProcessAcceleration,KGMoveProcessor::ProcessAcceleration(KGMoveParam&),NEW,hard
movement-sync,self-contained,KGMoveProcessor,ProcessDropSpeed,KGMoveProcessor::ProcessDropSpeed(KGMoveParam&),NEW,hard
movement-sync,self-contained,KGMoveProcessor,ProcessDynamicObstacle,KGMoveProcessor::ProcessDynamicObstacle(KGMoveParam&),NEW,hard
movement-sync,self-contained,KGMoveProcessor,ProcessHorizontalMove,KGMoveProcessor::ProcessHorizontalMove(KGMoveParam&),NEW,hard
movement-sync,self-contained,KGMoveProcessor,ProcessHorizontalMoveSmart,KGMoveProcessor::ProcessHorizontalMoveSmart(KGMoveParam&),NEW,hard
movement-sync,self-contained,KGMoveProcessor,ProcessHorizontalMoveStupid,KGMoveProcessor::ProcessHorizontalMoveStupid(KGMoveParam&),NEW,hard
